cu_fill_fraction,heat_balance_error_w,interface_r_m2k_w,nodal_residual_w,pad_diameter_um,pad_mode,pitch_um,signal_capacity_per_tile,steady_tmax_c
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,4.0,constant_fill,8,250,74.4890535385224
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,2.0,constant_fill,4,1000,74.4890535385224
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,1.5,constant_fill,3,1777,74.4890535385224
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,1.0,constant_fill,2,4000,74.4890535385224
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,0.5,constant_fill,1,16000,74.4890535385224
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,0.4,constant_fill,0.8,24999,74.4890535385224
0.0030679615757712823,5.684341886080802e-14,1.8898388910588322e-06,3.375077994860476e-14,0.5,constant_diameter,8,250,74.68041488252766
0.01227184630308513,1.2789769243681803e-13,1.621842876374252e-06,6.750155989720952e-14,0.5,constant_diameter,4,1000,74.64543310589107
0.02181661564992912,1.4210854715202004e-14,1.4139114919323762e-06,5.2735593669694936e-14,0.5,constant_diameter,3,1777,74.61829926119425
0.04908738521234052,2.1316282072803006e-13,1.0348429986906194e-06,5.595524044110789e-14,0.5,constant_diameter,2,4000,74.56885019223415
0.19634954084936207,2.842170943040401e-14,4.2277566259110027e-07,8.171241461241152e-14,0.5,constant_diameter,1,16000,74.4890535385224
0.30679615757712825,1.4210854715202004e-14,2.928632022463928e-07,1.2434497875801753e-13,0.5,constant_diameter,0.8,24999,74.47212399508064
