architecture,bottleneck,bottom_power_w,cu_fill_fraction,endpoint_cell_area_mm2,energy_mj,feasible,fixed_stack_footprint_mm2,hb_gbps,hb_site_budget_mm2,heat_balance_error_w,implemented_bits_per_tile,interface_r_m2k_w,latency_ms,link_mode,nodal_residual_w,pad_diameter_um,pad_mode,pitch_um,reason,signal_capacity_per_tile,steady_bottom_tmax_c,steady_gradient_c,steady_tmax_c,steady_top_tmax_c,throughput_tops,top_power_w,total_die_silicon_area_mm2,total_power_w
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.32768,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,4.0,constant_fill,8,,250,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.08192,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,2.0,constant_fill,4,,1000,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.04608,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,1.5,constant_fill,3,,1777,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.02048,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,1.0,constant_fill,2,,4000,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.00512,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,0.5,constant_fill,1,,16000,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.0032768000000000007,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,0.4,constant_fill,0.8,,24999,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,compute,4.808000000000001,0.19634954084936207,0.02,44.796875,True,100,400.0,0.64,7.105427357601002e-15,250,4.2277566259110027e-07,0.9765625,width_sweep,5.648259637780484e-14,4.0,constant_fill,8,,250,56.77711265993349,10.114158471808508,56.77711265993349,56.75648811730012,16.384,41.064,200,45.872
coarse_tile_L2,compute,4.928000000000001,0.19634954084936207,0.08,45.03124999999999,True,100,1600.0,0.64,1.4210854715202004e-14,1000,4.2277566259110027e-07,0.9765625,width_sweep,4.707345624410664e-14,2.0,constant_fill,4,,1000,56.84411752403115,10.14402569255661,56.84411752403115,56.82264985523718,16.384,41.184,200,46.111999999999995
coarse_tile_L2,compute,4.93184,0.19634954084936207,0.08192,45.03875,True,100,1638.4,0.36864,7.105427357601002e-15,1024,4.2277566259110027e-07,0.9765625,width_sweep,5.437317263101704e-14,1.5,constant_fill,3,,1777,56.84626167968227,10.144981443620544,56.84626167968227,56.82476703085116,16.384,41.18784,200,46.11968
coarse_tile_L2,compute,4.93184,0.19634954084936207,0.08192,45.03875,True,100,1638.4,0.16384,7.105427357601002e-15,1024,4.2277566259110027e-07,0.9765625,width_sweep,5.437317263101704e-14,1.0,constant_fill,2,,4000,56.84626167968227,10.144981443620544,56.84626167968227,56.82476703085116,16.384,41.18784,200,46.11968
coarse_tile_L2,compute,4.93184,0.19634954084936207,0.08192,45.03875,True,100,1638.4,0.04096,7.105427357601002e-15,1024,4.2277566259110027e-07,0.9765625,width_sweep,5.437317263101704e-14,0.5,constant_fill,1,,16000,56.84626167968227,10.144981443620544,56.84626167968227,56.82476703085116,16.384,41.18784,200,46.11968
coarse_tile_L2,compute,4.93184,0.19634954084936207,0.08192,45.03875,True,100,1638.4,0.026214400000000006,7.105427357601002e-15,1024,4.2277566259110027e-07,0.9765625,width_sweep,5.437317263101704e-14,0.4,constant_fill,0.8,,24999,56.84626167968227,10.144981443620544,56.84626167968227,56.82476703085116,16.384,41.18784,200,46.11968
coarse_tile_L2,hb,4.63488,0.0030679615757712823,0.01024,47.6984375,True,100,204.8,0.32768,2.842170943040401e-14,128,1.8898388910588322e-06,1.220703125,fixed_width,2.1316282072803006e-14,0.5,constant_diameter,8,,250,54.20853060541796,8.519781431256874,54.20853060541796,54.15209110941809,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.01227184630308513,0.01024,47.6984375,True,100,204.8,0.08192,5.684341886080802e-14,128,1.621842876374252e-06,1.220703125,fixed_width,1.9539925233402755e-14,0.5,constant_diameter,4,,1000,54.20201377828673,8.513297250316178,54.20201377828673,54.15192161927759,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.02181661564992912,0.01024,47.6984375,True,100,204.8,0.04608,1.4210854715202004e-14,128,1.4139114919323762e-06,1.220703125,fixed_width,2.7922109069322687e-14,0.5,constant_diameter,3,,1777,54.19696062019926,8.508269457743118,54.19696062019926,54.15179003683506,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.04908738521234052,0.01024,47.6984375,True,100,204.8,0.02048,8.526512829121202e-14,128,1.0348429986906194e-06,1.220703125,fixed_width,2.1538326677728037e-14,0.5,constant_diameter,2,,4000,54.18775542346215,8.499110585009,54.18775542346215,54.15154997755087,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.19634954084936207,0.01024,47.6984375,True,100,204.8,0.00512,7.105427357601002e-15,128,4.2277566259110027e-07,1.220703125,fixed_width,4.010680676458378e-14,0.5,constant_diameter,1,,16000,54.17291110416329,8.48434128629956,54.17291110416329,54.151161876074454,13.1072,34.439679999999996,200,39.07456
coarse_tile_L2,hb,4.63488,0.30679615757712825,0.01024,47.6984375,True,100,204.8,0.0032768000000000007,0.0,128,2.928632022463928e-07,1.220703125,fixed_width,5.856426454897701e-14,0.5,constant_diameter,0.8,,24999,54.16976338571974,8.481209526672679,54.16976338571974,54.15107942334172,13.1072,34.439679999999996,200,39.07456
