architecture,bottleneck,bottom_power_w,cu_fill_fraction,endpoint_cell_area_mm2,energy_mj,feasible,fixed_stack_footprint_mm2,hb_gbps,hb_site_budget_mm2,heat_balance_error_w,implemented_bits_per_tile,interface_r_m2k_w,latency_ms,link_mode,nodal_residual_w,pad_diameter_um,pad_mode,pitch_um,reason,signal_capacity_per_tile,steady_bottom_tmax_c,steady_gradient_c,steady_tmax_c,steady_top_tmax_c,throughput_tops,top_power_w,total_die_silicon_area_mm2,total_power_w
coarse_tile_L2,compute,4.808000000000001,0.0030679615757712823,0.02,44.796875,True,100,400.0,0.64,1.4210854715202004e-14,250,1.8898388910588322e-06,0.9765625,width_sweep,1.7430501486614958e-14,0.5,constant_diameter,8,,250,56.81113269342678,10.148077500012725,56.81113269342678,56.75758519946893,16.384,41.064,200,45.872
coarse_tile_L2,compute,4.928000000000001,0.01227184630308513,0.08,45.03124999999999,True,100,1600.0,0.64,7.105427357601002e-14,1000,1.621842876374252e-06,0.9765625,width_sweep,2.1316282072803006e-14,0.5,constant_diameter,4,,1000,56.873010978536364,10.172822671074094,56.873010978536364,56.8235507958867,16.384,41.184,200,46.111999999999995
coarse_tile_L2,compute,4.93184,0.02181661564992912,0.08192,45.03875,True,100,1638.4,0.36864,2.1316282072803006e-14,1024,1.4139114919323762e-06,0.9765625,width_sweep,3.47499806707674e-14,0.5,constant_diameter,3,,1777,56.87016615263911,10.168805754132443,56.87016615263911,56.82551205779055,16.384,41.18784,200,46.11968
coarse_tile_L2,compute,4.93184,0.04908738521234052,0.08192,45.03875,True,100,1638.4,0.16384,9.947598300641403e-14,1024,1.0348429986906194e-06,0.9765625,width_sweep,5.062616992290714e-14,0.5,constant_diameter,2,,4000,56.861015079559905,10.15968528353222,56.861015079559905,56.825227358387465,16.384,41.18784,200,46.11968
coarse_tile_L2,compute,4.93184,0.19634954084936207,0.08192,45.03875,True,100,1638.4,0.04096,7.105427357601002e-15,1024,4.2277566259110027e-07,0.9765625,width_sweep,5.437317263101704e-14,0.5,constant_diameter,1,,16000,56.84626167968227,10.144981443620544,56.84626167968227,56.82476703085116,16.384,41.18784,200,46.11968
coarse_tile_L2,compute,4.93184,0.30679615757712825,0.08192,45.03875,True,100,1638.4,0.026214400000000006,1.4210854715202004e-14,1024,2.928632022463928e-07,0.9765625,width_sweep,7.088774012231625e-14,0.5,constant_diameter,0.8,,24999,56.84313382094318,10.141864127566052,56.84313382094318,56.82466922452194,16.384,41.18784,200,46.11968
bank_to_tensor,,,0.19634954084936207,,,False,,,,,1024,4.2277566259110027e-07,,fixed_width,,4.0,constant_fill,8,Data width exceeds bond/endpoint/routing capacity,250,,,,,,,,
bank_to_tensor,,,0.19634954084936207,,,False,,,,,1024,4.2277566259110027e-07,,fixed_width,,2.0,constant_fill,4,Data width exceeds bond/endpoint/routing capacity,1000,,,,,,,,
bank_to_tensor,hb,9.079039999999999,0.19634954084936207,0.08192,55.04843749999999,True,100,1638.4,0.36864,1.4210854715202004e-14,1024,4.2277566259110027e-07,1.220703125,fixed_width,6.039613253960852e-14,1.5,constant_fill,3,,1777,55.53995352358426,8.885251076871867,55.53995352358426,55.485938938974066,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,9.079039999999999,0.19634954084936207,0.08192,55.04843749999999,True,100,1638.4,0.16384,1.4210854715202004e-14,1024,4.2277566259110027e-07,1.220703125,fixed_width,6.039613253960852e-14,1.0,constant_fill,2,,4000,55.53995352358426,8.885251076871867,55.53995352358426,55.485938938974066,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,9.079039999999999,0.19634954084936207,0.08192,55.04843749999999,True,100,1638.4,0.04096,1.4210854715202004e-14,1024,4.2277566259110027e-07,1.220703125,fixed_width,6.039613253960852e-14,0.5,constant_fill,1,,16000,55.53995352358426,8.885251076871867,55.53995352358426,55.485938938974066,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,9.079039999999999,0.19634954084936207,0.08192,55.04843749999999,True,100,1638.4,0.026214400000000006,1.4210854715202004e-14,1024,4.2277566259110027e-07,1.220703125,fixed_width,6.039613253960852e-14,0.4,constant_fill,0.8,,24999,55.53995352358426,8.885251076871867,55.53995352358426,55.485938938974066,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,5.24,0.19634954084936207,0.02,100.39999999999999,True,100,400.0,0.64,7.105427357601002e-15,250,4.2277566259110027e-07,5.0,width_sweep,5.179190409876355e-14,4.0,constant_fill,8,,250,46.65733125582368,3.6654054573539483,46.65733125582368,46.623998430536005,3.2,14.84,200,20.08
bank_to_tensor,hb,8.96,0.19634954084936207,0.08,55.400000000000006,True,100,1600.0,0.64,1.4210854715202004e-14,1000,4.2277566259110027e-07,1.25,width_sweep,4.796163466380676e-14,2.0,constant_fill,4,,1000,55.26452337574672,8.723395398747279,55.26452337574672,55.211150085999236,12.8,35.36,200,44.32
bank_to_tensor,"compute,sram",10.42832,0.19634954084936207,0.14216,52.2740625,True,100,2843.2000000000003,0.63972,1.4210854715202004e-14,1777,4.2277566259110027e-07,0.9765625,width_sweep,4.085620730620576e-14,1.5,constant_fill,3,,1777,58.52227699046004,10.63150365514987,58.52227699046004,58.46086321571181,16.384,43.10032,200,53.52864
bank_to_tensor,"compute,sram",10.784,0.19634954084936207,0.32,52.96875,True,100,6400.0,0.64,2.1316282072803006e-14,4000,4.2277566259110027e-07,0.9765625,width_sweep,7.815970093361102e-14,1.0,constant_fill,2,,4000,58.720879407645484,10.720030097447236,58.720879407645484,58.656966606957255,16.384,43.456,200,54.24
bank_to_tensor,"compute,sram",10.79936,0.19634954084936207,0.32768,52.99875,True,100,6553.6,0.16384,2.1316282072803006e-14,4096,4.2277566259110027e-07,0.9765625,width_sweep,5.861977570020827e-14,0.5,constant_fill,1,,16000,58.72945603024999,10.723853101703,58.72945603024999,58.6654353094132,16.384,43.471360000000004,200,54.270720000000004
bank_to_tensor,"compute,sram",10.79936,0.19634954084936207,0.32768,52.99875,True,100,6553.6,0.10485760000000002,2.1316282072803006e-14,4096,4.2277566259110027e-07,0.9765625,width_sweep,5.861977570020827e-14,0.4,constant_fill,0.8,,24999,58.72945603024999,10.723853101703,58.72945603024999,58.6654353094132,16.384,43.471360000000004,200,54.270720000000004
bank_to_tensor,,,0.0030679615757712823,,,False,,,,,1024,1.8898388910588322e-06,,fixed_width,,0.5,constant_diameter,8,Data width exceeds bond/endpoint/routing capacity,250,,,,,,,,
bank_to_tensor,,,0.01227184630308513,,,False,,,,,1024,1.621842876374252e-06,,fixed_width,,0.5,constant_diameter,4,Data width exceeds bond/endpoint/routing capacity,1000,,,,,,,,
bank_to_tensor,hb,9.079039999999999,0.02181661564992912,0.08192,55.04843749999999,True,100,1638.4,0.36864,1.4210854715202004e-14,1024,1.4139114919323762e-06,1.220703125,fixed_width,2.681188604469753e-14,0.5,constant_diameter,3,,1777,55.5987360647047,8.943456949265197,55.5987360647047,55.48663890540213,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,9.079039999999999,0.04908738521234052,0.08192,55.04843749999999,True,100,1638.4,0.16384,9.947598300641403e-14,1024,1.0348429986906194e-06,1.220703125,fixed_width,3.3861802251067274e-14,0.5,constant_diameter,2,,4000,55.576246094938426,8.921187126135152,55.576246094938426,55.4863712543584,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,9.079039999999999,0.19634954084936207,0.08192,55.04843749999999,True,100,1638.4,0.04096,1.4210854715202004e-14,1024,4.2277566259110027e-07,1.220703125,fixed_width,6.039613253960852e-14,0.5,constant_diameter,1,,16000,55.53995352358426,8.885251076871867,55.53995352358426,55.485938938974066,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,9.079039999999999,0.30679615757712825,0.08192,55.04843749999999,True,100,1638.4,0.026214400000000006,2.1316282072803006e-14,1024,2.928632022463928e-07,1.220703125,fixed_width,5.617728504603292e-14,0.5,constant_diameter,0.8,,24999,55.53225371304739,8.877627107790182,55.53225371304739,55.485847155684304,13.1072,36.016639999999995,200,45.095679999999994
bank_to_tensor,hb,5.24,0.0030679615757712823,0.02,100.39999999999999,True,100,400.0,0.64,1.4210854715202004e-14,250,1.8898388910588322e-06,5.0,width_sweep,1.3100631690576847e-14,0.5,constant_diameter,8,,250,46.71082709750537,3.7183146004627474,46.71082709750537,46.62444797209918,3.2,14.84,200,20.08
bank_to_tensor,hb,8.96,0.01227184630308513,0.08,55.400000000000006,True,100,1600.0,0.64,6.394884621840902e-14,1000,1.621842876374252e-06,1.25,width_sweep,1.9095836023552692e-14,0.5,constant_diameter,4,,1000,55.33479688700004,8.792978434300494,55.33479688700004,55.21198197331973,12.8,35.36,200,44.32
bank_to_tensor,"compute,sram",10.42832,0.02181661564992912,0.14216,52.2740625,True,100,2843.2000000000003,0.63972,1.4210854715202004e-14,1777,1.4139114919323762e-06,0.9765625,width_sweep,4.340972026284362e-14,0.5,constant_diameter,3,,1777,58.58915288579908,10.697735840627587,58.58915288579908,58.461696411852984,16.384,43.10032,200,53.52864
bank_to_tensor,"compute,sram",10.784,0.04908738521234052,0.32,52.96875,True,100,6400.0,0.64,1.2079226507921703e-13,4000,1.0348429986906194e-06,0.9765625,width_sweep,3.2862601528904634e-14,0.5,constant_diameter,2,,4000,58.763832343659764,10.76256406343633,58.763832343659764,58.65748715415418,16.384,43.456,200,54.24
bank_to_tensor,"compute,sram",10.79936,0.19634954084936207,0.32768,52.99875,True,100,6553.6,0.16384,2.1316282072803006e-14,4096,4.2277566259110027e-07,0.9765625,width_sweep,5.861977570020827e-14,0.5,constant_diameter,1,,16000,58.72945603024999,10.723853101703,58.72945603024999,58.6654353094132,16.384,43.471360000000004,200,54.270720000000004
bank_to_tensor,"compute,sram",10.79936,0.30679615757712825,0.32768,52.99875,True,100,6553.6,0.10485760000000002,7.105427357601002e-15,4096,2.928632022463928e-07,0.9765625,width_sweep,5.773159728050814e-14,0.5,constant_diameter,0.8,,24999,58.72032798021431,10.714814370329364,58.72032798021431,58.66532473735742,16.384,43.471360000000004,200,54.270720000000004
RF_lane_traffic_proxy,,,0.19634954084936207,,,False,,,,,2048,4.2277566259110027e-07,,fixed_width,,4.0,constant_fill,8,Data width exceeds bond/endpoint/routing capacity,250,,,,,,,,
RF_lane_traffic_proxy,,,0.19634954084936207,,,False,,,,,2048,4.2277566259110027e-07,,fixed_width,,2.0,constant_fill,4,Data width exceeds bond/endpoint/routing capacity,1000,,,,,,,,
RF_lane_traffic_proxy,,,0.19634954084936207,,,False,,,,,2048,4.2277566259110027e-07,,fixed_width,,1.5,constant_fill,3,Data width exceeds bond/endpoint/routing capacity,1777,,,,,,,,
RF_lane_traffic_proxy,hb,17.43488,0.19634954084936207,0.16384,67.4484375,True,100,3276.8,0.32768,1.4210854715202004e-14,2048,4.2277566259110027e-07,1.220703125,fixed_width,6.117328865684613e-14,1.0,constant_fill,2,,4000,57.65829819190426,9.353050479790312,57.65829819190426,57.54319685172341,13.1072,37.81888,200,55.25376
RF_lane_traffic_proxy,hb,17.43488,0.19634954084936207,0.16384,67.4484375,True,100,3276.8,0.08192,1.4210854715202004e-14,2048,4.2277566259110027e-07,1.220703125,fixed_width,6.117328865684613e-14,0.5,constant_fill,1,,16000,57.65829819190426,9.353050479790312,57.65829819190426,57.54319685172341,13.1072,37.81888,200,55.25376
RF_lane_traffic_proxy,hb,17.43488,0.19634954084936207,0.16384,67.4484375,True,100,3276.8,0.05242880000000001,1.4210854715202004e-14,2048,4.2277566259110027e-07,1.220703125,fixed_width,6.117328865684613e-14,0.4,constant_fill,0.8,,24999,57.65829819190426,9.353050479790312,57.65829819190426,57.54319685172341,13.1072,37.81888,200,55.25376
RF_lane_traffic_proxy,hb,5.640000000000001,0.19634954084936207,0.02,172.8,True,100,400.0,0.64,1.0658141036401503e-14,250,4.2277566259110027e-07,10.0,width_sweep,4.296563105299356e-14,4.0,constant_fill,8,,250,45.48138623148103,2.879511553089955,45.48138623148103,45.443936604261204,1.6,11.639999999999999,200,17.28
RF_lane_traffic_proxy,hb,10.56,0.19634954084936207,0.08,82.80000000000001,True,100,1600.0,0.64,7.105427357601002e-15,1000,4.2277566259110027e-07,2.5,width_sweep,3.9745984281580604e-14,2.0,constant_fill,4,,1000,50.56074327837615,5.579819781691327,50.56074327837615,50.49090278090006,6.4,22.560000000000002,200,33.120000000000005
RF_lane_traffic_proxy,hb,15.657120000000003,0.19634954084936207,0.14216,69.6823860438942,True,100,2843.2000000000003,0.63972,2.1316282072803006e-14,1777,4.2277566259110027e-07,1.40686550365785,width_sweep,5.062616992290714e-14,1.5,constant_fill,3,,1777,55.82295717895949,8.37733910652235,55.82295717895949,55.71955973989791,11.372800000000002,33.87312000000001,200,49.530240000000006
RF_lane_traffic_proxy,compute,21.024,0.19634954084936207,0.32,64.96874999999999,True,100,6400.0,0.64,2.842170943040401e-14,4000,4.2277566259110027e-07,0.9765625,width_sweep,7.37188088351104e-14,1.0,constant_fill,2,,4000,61.25445527498549,11.253805961018536,61.25445527498549,61.11562296514802,16.384,45.504,200,66.52799999999999
RF_lane_traffic_proxy,compute,21.69472,0.19634954084936207,0.65536,66.27875,True,100,13107.2,0.32768,4.263256414560601e-14,8192,4.2277566259110027e-07,0.9765625,width_sweep,8.260059303211165e-14,0.5,constant_fill,1,,16000,61.62896779538196,11.420743813519884,61.62896779538196,61.48542297239089,16.384,46.17472,200,67.86944
RF_lane_traffic_proxy,compute,21.69472,0.19634954084936207,0.65536,66.27875,True,100,13107.2,0.20971520000000005,4.263256414560601e-14,8192,4.2277566259110027e-07,0.9765625,width_sweep,8.260059303211165e-14,0.4,constant_fill,0.8,,24999,61.62896779538196,11.420743813519884,61.62896779538196,61.48542297239089,16.384,46.17472,200,67.86944
RF_lane_traffic_proxy,,,0.0030679615757712823,,,False,,,,,2048,1.8898388910588322e-06,,fixed_width,,0.5,constant_diameter,8,Data width exceeds bond/endpoint/routing capacity,250,,,,,,,,
RF_lane_traffic_proxy,,,0.01227184630308513,,,False,,,,,2048,1.621842876374252e-06,,fixed_width,,0.5,constant_diameter,4,Data width exceeds bond/endpoint/routing capacity,1000,,,,,,,,
RF_lane_traffic_proxy,,,0.02181661564992912,,,False,,,,,2048,1.4139114919323762e-06,,fixed_width,,0.5,constant_diameter,3,Data width exceeds bond/endpoint/routing capacity,1777,,,,,,,,
RF_lane_traffic_proxy,hb,17.43488,0.04908738521234052,0.16384,67.4484375,True,100,3276.8,0.32768,1.2079226507921703e-13,2048,1.0348429986906194e-06,1.220703125,fixed_width,2.786659791809143e-14,0.5,constant_diameter,2,,4000,57.735184204630215,9.429042946701344,57.735184204630215,57.5437001722782,13.1072,37.81888,200,55.25376
RF_lane_traffic_proxy,hb,17.43488,0.19634954084936207,0.16384,67.4484375,True,100,3276.8,0.08192,1.4210854715202004e-14,2048,4.2277566259110027e-07,1.220703125,fixed_width,6.117328865684613e-14,0.5,constant_diameter,1,,16000,57.65829819190426,9.353050479790312,57.65829819190426,57.54319685172341,13.1072,37.81888,200,55.25376
RF_lane_traffic_proxy,hb,17.43488,0.30679615757712825,0.16384,67.4484375,True,100,3276.8,0.05242880000000001,1.4210854715202004e-14,2048,2.928632022463928e-07,1.220703125,fixed_width,1.0191847366058937e-13,0.5,constant_diameter,0.8,,24999,57.64198289149448,9.336925259649277,57.64198289149448,57.54309010358794,13.1072,37.81888,200,55.25376
RF_lane_traffic_proxy,hb,5.640000000000001,0.0030679615757712823,0.02,172.8,True,100,400.0,0.64,1.0658141036401503e-14,250,1.8898388910588322e-06,10.0,width_sweep,1.149080830487037e-14,0.5,constant_diameter,8,,250,45.54134394282896,2.9387687441890975,45.54134394282896,45.444312391445536,1.6,11.639999999999999,200,17.28
RF_lane_traffic_proxy,hb,10.56,0.01227184630308513,0.08,82.80000000000001,True,100,1600.0,0.64,4.263256414560601e-14,1000,1.621842876374252e-06,2.5,width_sweep,2.9976021664879227e-14,0.5,constant_diameter,4,,1000,50.65214575790517,5.670159369486377,50.65214575790517,50.49149329845548,6.4,22.560000000000002,200,33.120000000000005
RF_lane_traffic_proxy,hb,15.657120000000003,0.02181661564992912,0.14216,69.6823860438942,True,100,2843.2000000000003,0.63972,7.105427357601002e-15,1777,1.4139114919323762e-06,1.40686550365785,width_sweep,3.108624468950438e-14,0.5,constant_diameter,3,,1777,55.93481243790183,8.48789547505217,55.93481243790183,55.72029044909175,11.372800000000002,33.87312000000001,200,49.530240000000006
RF_lane_traffic_proxy,compute,21.024,0.04908738521234052,0.32,64.96874999999999,True,100,6400.0,0.64,1.4210854715202004e-13,4000,1.0348429986906194e-06,0.9765625,width_sweep,6.128431095930864e-14,0.5,constant_diameter,2,,4000,61.34719192921966,11.345464457422409,61.34719192921966,61.11622885344545,16.384,45.504,200,66.52799999999999
RF_lane_traffic_proxy,compute,21.69472,0.19634954084936207,0.65536,66.27875,True,100,13107.2,0.32768,4.263256414560601e-14,8192,4.2277566259110027e-07,0.9765625,width_sweep,8.260059303211165e-14,0.5,constant_diameter,1,,16000,61.62896779538196,11.420743813519884,61.62896779538196,61.48542297239089,16.384,46.17472,200,67.86944
RF_lane_traffic_proxy,compute,21.69472,0.30679615757712825,0.65536,66.27875,True,100,13107.2,0.20971520000000005,2.842170943040401e-14,8192,2.928632022463928e-07,0.9765625,width_sweep,7.061018436615996e-14,0.5,constant_diameter,0.8,,24999,61.60862305999147,11.400636854255595,61.60862305999147,61.48529210374253,16.384,46.17472,200,67.86944
